hour_utc,samples,pack_current_avg_a,pack_voltage_avg_v,cell_min_avg_mv,cell_max_avg_mv,delta_avg_mv,delta_max_mv,temp_max_avg_c,temp_min_avg_c
2026-04-04 11:00:00,120,0.00,340.3,3535,3551,16.1,19,14.0,11.5
2026-04-04 12:00:00,120,0.00,340.3,3535,3551,16.0,18,14.0,11.5
2026-04-04 13:00:00,120,0.00,340.3,3535,3551,16.1,19,14.0,11.5
2026-04-04 14:00:00,120,0.00,340.2,3535,3551,16.0,18,14.0,11.5
2026-04-04 15:00:00,119,0.00,340.2,3535,3551,16.0,18,14.0,11.5
2026-04-04 16:00:00,120,0.00,340.2,3535,3551,15.8,18,14.0,11.5
2026-04-04 17:00:00,120,0.00,340.2,3535,3551,15.8,18,14.0,11.5
2026-04-04 18:00:00,120,0.00,340.2,3535,3551,15.8,18,14.0,11.5
2026-04-04 19:00:00,120,0.00,340.2,3535,3551,15.7,18,14.0,11.5
2026-04-04 20:00:00,120,0.00,340.2,3535,3551,15.9,19,14.0,11.5
2026-04-04 21:00:00,120,0.00,340.2,3535,3550,15.7,19,14.0,11.5
2026-04-04 22:00:00,120,0.00,340.2,3535,3550,15.7,18,14.0,11.5
2026-04-04 23:00:00,120,0.00,340.2,3534,3550,15.8,17,14.0,11.5
2026-04-05 00:00:00,120,0.00,340.2,3534,3550,16.0,18,14.0,11.5
2026-04-05 01:00:00,120,0.00,340.1,3534,3550,15.9,19,14.0,11.5
2026-04-05 02:00:00,120,0.00,340.1,3534,3550,16.0,19,14.0,11.5
2026-04-05 03:00:00,120,0.00,340.1,3534,3550,15.9,17,14.0,11.5
2026-04-05 04:00:00,120,0.00,340.1,3534,3550,15.7,17,14.0,11.5
2026-04-05 05:00:00,120,0.00,340.1,3534,3550,15.8,17,14.0,11.6
2026-04-05 06:00:00,120,0.00,340.1,3534,3550,15.7,17,14.0,12.0
2026-04-05 07:00:00,120,0.00,340.1,3534,3550,15.8,17,14.0,12.0
2026-04-05 08:00:00,120,0.00,340.1,3534,3550,15.8,18,14.1,12.0
2026-04-05 09:00:00,120,0.00,340.1,3534,3549,15.7,17,14.5,12.0
2026-04-05 10:00:00,120,0.00,340.0,3534,3549,15.7,17,14.5,12.0
2026-04-05 11:00:00,120,0.00,340.0,3534,3549,15.7,18,14.5,12.0
2026-04-05 12:00:00,120,0.00,340.0,3533,3549,15.9,18,14.5,12.0
2026-04-05 13:00:00,120,0.00,340.0,3533,3549,15.8,17,14.5,12.0
2026-04-05 14:00:00,120,0.00,340.0,3533,3549,15.8,18,14.5,12.0
2026-04-05 15:00:00,120,0.00,340.0,3533,3549,15.9,19,14.5,12.0
2026-04-05 16:00:00,120,0.00,340.0,3533,3549,15.9,18,14.5,12.0
2026-04-05 17:00:00,120,0.00,340.0,3533,3549,15.8,19,14.5,12.0
2026-04-05 18:00:00,120,0.00,340.0,3533,3549,15.8,19,14.5,12.0
2026-04-05 19:00:00,119,0.00,340.0,3533,3549,15.9,18,14.5,12.0
2026-04-05 20:00:00,120,0.00,339.9,3533,3549,15.9,19,14.5,12.0
2026-04-05 21:00:00,120,0.00,339.9,3533,3548,15.8,18,14.5,12.0
2026-04-05 22:00:00,120,0.00,339.9,3532,3548,15.9,18,14.5,12.0
2026-04-05 23:00:00,120,0.00,339.9,3532,3548,16.0,19,14.5,12.0
2026-04-06 00:00:00,120,0.00,339.9,3532,3548,16.1,19,14.5,12.0
2026-04-06 01:00:00,120,0.00,339.9,3532,3548,16.1,18,14.5,12.0
2026-04-06 02:00:00,120,0.00,339.9,3532,3548,16.4,18,14.5,12.0
2026-04-06 03:00:00,120,0.00,339.9,3532,3548,16.5,19,14.5,12.0
2026-04-06 04:00:00,119,0.00,339.9,3531,3548,16.4,18,14.5,12.0
2026-04-06 05:00:00,120,0.00,339.9,3531,3548,16.5,18,14.5,12.0
2026-04-06 06:00:00,123,0.00,339.8,3531,3548,16.6,18,14.5,12.0
2026-04-06 07:00:00,120,0.00,339.8,3531,3547,16.4,18,14.5,12.2
2026-04-06 08:00:00,120,0.00,339.8,3531,3547,16.4,18,14.5,12.5
2026-04-06 09:00:00,120,0.00,339.8,3531,3547,16.5,19,14.5,12.5
2026-04-06 10:00:00,120,0.00,339.8,3531,3547,16.2,19,14.5,12.5
2026-04-06 11:00:00,120,0.00,339.8,3531,3547,16.2,18,14.5,12.5
2026-04-06 12:00:00,120,0.00,339.8,3531,3547,15.8,18,14.5,12.5
2026-04-06 13:00:00,120,0.00,339.8,3531,3547,16.0,19,14.5,12.5
2026-04-06 14:00:00,120,0.00,339.8,3530,3546,15.9,18,14.5,12.5
2026-04-06 15:00:00,120,0.00,339.8,3530,3546,16.1,18,14.5,12.5
2026-04-06 16:00:00,120,0.00,339.7,3530,3546,15.9,18,14.5,12.5
2026-04-06 17:00:00,120,0.00,339.7,3530,3546,15.9,18,14.5,12.5
2026-04-06 18:00:00,119,0.00,339.7,3530,3546,15.8,18,14.5,12.5
2026-04-06 19:00:00,120,0.00,339.7,3530,3546,16.0,18,14.5,12.5
2026-04-06 20:00:00,120,0.00,339.7,3530,3546,15.8,18,14.5,12.3
2026-04-06 21:00:00,103,0.00,339.7,3530,3546,15.9,18,14.5,12.0
2026-04-06 22:00:00,121,0.00,339.7,3530,3546,15.7,19,14.5,12.0
2026-04-06 23:00:00,118,0.00,339.7,3530,3546,15.6,18,14.5,12.0
2026-04-07 00:00:00,120,0.00,339.7,3530,3545,15.6,19,14.5,12.0
2026-04-07 01:00:00,120,0.00,339.7,3530,3545,15.6,19,14.5,12.0
2026-04-07 02:00:00,120,0.00,339.6,3530,3545,15.6,18,14.5,12.0
2026-04-07 03:00:00,120,0.00,339.6,3530,3545,15.7,17,14.5,12.0
2026-04-07 04:00:00,120,0.00,339.6,3530,3545,15.7,17,14.5,12.0
2026-04-07 05:00:00,120,0.00,339.6,3529,3545,15.8,17,14.5,12.0
2026-04-07 06:00:00,120,0.00,339.6,3529,3545,15.7,18,14.5,12.0
2026-04-07 07:00:00,120,0.00,339.6,3529,3545,15.7,18,14.5,12.0
2026-04-07 08:00:00,120,0.00,339.6,3529,3545,15.8,17,14.5,12.4
2026-04-07 09:00:00,120,0.00,339.6,3529,3545,15.8,17,14.5,12.5
2026-04-07 10:00:00,120,0.00,339.6,3529,3545,15.7,17,14.5,12.5
2026-04-07 11:00:00,118,0.00,339.6,3529,3545,15.8,18,14.5,12.5
2026-04-07 12:00:00,69,0.00,339.5,3529,3545,15.7,19,14.5,12.5
2026-04-08 17:00:00,45,0.00,339.2,3525,3541,16.0,19,13.5,12.0
2026-04-08 18:00:00,120,0.00,339.3,3525,3542,16.3,19,13.5,12.0
2026-04-08 19:00:00,120,0.00,339.3,3525,3542,16.6,19,13.8,12.0
2026-04-08 20:00:00,120,0.00,339.2,3525,3542,16.4,19,14.0,12.0
2026-04-08 21:00:00,120,0.00,339.2,3525,3542,16.3,19,14.0,12.0
2026-04-08 22:00:00,120,0.00,339.2,3525,3541,16.3,19,14.0,12.0
2026-04-08 23:00:00,119,0.00,339.2,3525,3541,16.3,18,14.0,12.0
