timestamp_utc,bus,direction,can_id_hex,dlc,data_hex,is_extended,is_fd,is_brs
2026-05-10 21:58:01.615,can_fd,rx,0x2C7,6,036000A8F000,f,f,f
2026-05-10 21:58:01.615,can_fd,rx,0x260,8,7490929393000000,f,f,f
2026-05-10 21:58:01.615,can_fd,rx,0x3E3,7,AFB17BA57101B0,f,f,f
2026-05-10 21:58:01.615,can_fd,rx,0x262,3,909090,f,f,f
2026-05-10 21:58:01.616,can_fd,rx,0x270,8,9393939093939390,f,f,f
2026-05-10 21:58:01.616,can_fd,rx,0x272,8,9090909090909090,f,f,f
2026-05-10 21:58:01.616,can_fd,rx,0x274,2,9090,f,f,f
2026-05-10 21:58:01.616,can_fd,rx,0x302,8,037171737B74751E,f,f,f
2026-05-10 21:58:01.617,can_fd,rx,0x308,5,2492492490,f,f,f
2026-05-10 21:58:01.617,can_fd,rx,0x460,4,0C000000,f,f,f
2026-05-10 21:58:01.617,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.637,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.638,can_fd,rx,0x202,8,1610F610B070F800,f,f,f
2026-05-10 21:58:01.638,can_fd,rx,0x200,8,1602F606B030F800,f,f,f
2026-05-10 21:58:01.639,can_fd,rx,0x204,8,15E3F5E2AF18F800,f,f,f
2026-05-10 21:58:01.639,can_fd,rx,0x206,8,1615F615B0C0F800,f,f,f
2026-05-10 21:58:01.639,can_fd,rx,0x208,8,000000000000F800,f,f,f
2026-05-10 21:58:01.639,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.640,can_fd,rx,0x216,7,01FA8F8C8AFB1D,f,f,f
2026-05-10 21:58:01.640,can_fd,rx,0x2C7,6,036000A8F000,f,f,f
2026-05-10 21:58:01.657,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.663,can_fd,rx,0x200,8,15FAF5FAAFD81800,f,f,f
2026-05-10 21:58:01.663,can_fd,rx,0x202,8,1614F611B0981800,f,f,f
2026-05-10 21:58:01.664,can_fd,rx,0x204,8,15E5F5EDAF481800,f,f,f
2026-05-10 21:58:01.664,can_fd,rx,0x206,8,1612F610B0901800,f,f,f
2026-05-10 21:58:01.664,can_fd,rx,0x208,8,0000000000001800,f,f,f
2026-05-10 21:58:01.664,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.665,can_fd,rx,0x216,7,01FA8F8C8AFB1D,f,f,f
2026-05-10 21:58:01.665,can_fd,rx,0x2C7,6,036000A8F000,f,f,f
2026-05-10 21:58:01.665,can_fd,rx,0x260,8,7B9A9A9B98000000,f,f,f
2026-05-10 21:58:01.665,can_fd,rx,0x262,3,989898,f,f,f
2026-05-10 21:58:01.665,can_fd,rx,0x270,8,9B9B9B989B9B9B98,f,f,f
2026-05-10 21:58:01.666,can_fd,rx,0x272,8,9898989898989898,f,f,f
2026-05-10 21:58:01.666,can_fd,rx,0x274,2,9898,f,f,f
2026-05-10 21:58:01.677,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.682,can_fd,tx,0x7E7,8,0322431C00000000,f,f,f
2026-05-10 21:58:01.688,can_fd,rx,0x200,8,15FBF5FEAFC83800,f,f,f
2026-05-10 21:58:01.688,can_fd,rx,0x202,8,1613F614B0983800,f,f,f
2026-05-10 21:58:01.689,can_fd,rx,0x204,8,15EDF5EAAF683800,f,f,f
2026-05-10 21:58:01.689,can_fd,rx,0x206,8,1612F614B0883800,f,f,f
2026-05-10 21:58:01.689,can_fd,rx,0x208,8,0000000000003800,f,f,f
2026-05-10 21:58:01.689,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.690,can_fd,rx,0x216,7,01FA8F8C8AFB1D,f,f,f
2026-05-10 21:58:01.690,can_fd,rx,0x2C7,6,036000A8F000,f,f,f
2026-05-10 21:58:01.690,can_fd,rx,0x7EF,8,0462431C00AAAAAA,f,f,f
2026-05-10 21:58:01.697,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.713,can_fd,rx,0x200,8,15FCF5FCB0E85800,f,f,f
2026-05-10 21:58:01.713,can_fd,rx,0x202,8,1615F615B0A85800,f,f,f
2026-05-10 21:58:01.714,can_fd,rx,0x204,8,15ECF5EDB0705800,f,f,f
2026-05-10 21:58:01.714,can_fd,rx,0x206,8,1614F612AFA05800,f,f,f
2026-05-10 21:58:01.714,can_fd,rx,0x208,8,0000000000005800,f,f,f
2026-05-10 21:58:01.714,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.715,can_fd,rx,0x216,7,01FA8F8C8AFB1D,f,f,f
2026-05-10 21:58:01.715,can_fd,rx,0x2C7,6,036000A8F000,f,f,f
2026-05-10 21:58:01.715,can_fd,rx,0x260,8,82A2A2A3A3000000,f,f,f
2026-05-10 21:58:01.715,can_fd,rx,0x3E3,7,AFB17BA57101B0,f,f,f
